

Software Version	3.14.03



Experiment File Path:	C:\Users\LABUSER\Desktop\Experiments\Kaizad P\2023-07-18_2wk_anoxia_tray2_Redo.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	7/18/2023
Time	12:04:00 PM
Reader Type:	Synergy H1
Reader Serial Number:	1709086
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  562
	Pathlength Correction: 977 / 900
	    Absorbance at 1 cm: 0.18
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	24.0

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.150	0.153	0.146	0.151	0.153	0.146	0.155	0.145	0.144	0.144	0.159	0.143	977 [Test]
	0.099	0.092	0.088	0.091	0.093	0.089	0.097	0.088	0.087	0.086	0.100	0.084	900 [Ref]
	0.288	0.338	0.321	0.334	0.332	0.317	0.322	0.317	0.313	0.323	0.331	0.325	Pathlength
	2.942	2.841	0.135	0.156	0.149	0.139	0.147	0.104	0.108	0.117	0.125	0.109	562
	10.225	8.412	0.422	0.466	0.448	0.439	0.457	0.329	0.346	0.363	0.377	0.336	Corrected [562]
B	0.147	0.153	0.158	0.146	0.151	0.149	0.150	0.102	0.083	0.083	0.085	0.081	977 [Test]
	0.086	0.090	0.092	0.091	0.092	0.091	0.088	0.100	0.081	0.083	0.088	0.084	900 [Ref]
	0.339	0.346	0.368	0.304	0.326	0.319	0.343	0.014	0.014	0.000	-0.017	-0.016	Pathlength
	1.101	1.424	0.102	0.109	0.095	0.097	0.093	0.114	0.090	0.090	0.094	0.093	562
	3.249	4.114	0.278	0.358	0.292	0.302	0.270	7.872	6.238	?????	-5.458	-5.972	Corrected [562]
C	0.148	0.151	0.087	0.083	0.083	0.080	0.084	0.082	0.086	0.085	0.096	0.092	977 [Test]
	0.090	0.092	0.089	0.082	0.089	0.083	0.087	0.085	0.083	0.085	0.098	0.094	900 [Ref]
	0.322	0.329	-0.009	0.004	-0.032	-0.013	-0.014	-0.016	0.016	0.003	-0.011	-0.012	Pathlength
	0.698	0.881	0.097	0.091	0.096	0.090	0.096	0.094	0.093	0.092	0.105	0.100	562
	2.167	2.678	-10.249	20.430	-2.979	-6.728	-6.905	-5.810	6.004	27.660	-9.938	-8.206	Corrected [562]
D	0.151	0.149	0.153	0.149	0.149	0.150	0.143	0.147	0.151	0.149	0.149	0.149	977 [Test]
	0.093	0.090	0.094	0.091	0.091	0.091	0.087	0.090	0.092	0.090	0.090	0.090	900 [Ref]
	0.323	0.324	0.326	0.324	0.318	0.326	0.314	0.317	0.328	0.327	0.327	0.333	Pathlength
	0.624	0.473	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	562
	1.934	1.461	?????	?????	?????	?????	?????	?????	?????	?????	?????	?????	Corrected [562]
E	0.153	0.157	0.184	0.152	0.151	0.153	0.146	0.100	0.099	0.090	0.085	0.086	977 [Test]
	0.091	0.097	0.125	0.092	0.092	0.091	0.088	0.104	0.100	0.091	0.086	0.087	900 [Ref]
	0.345	0.336	0.326	0.336	0.332	0.346	0.320	-0.023	-0.008	-0.006	-0.004	-0.001	Pathlength
	0.342	0.255	OVRFLW	OVRFLW	OVRFLW	OVRFLW	OVRFLW	0.115	0.107	0.098	0.092	0.093	562
	0.992	0.760	?????	?????	?????	?????	?????	-5.040	-13.770	-15.987	-20.745	-84.060	Corrected [562]
F	0.149	0.149	0.085	0.084	0.082	0.080	0.082	0.084	0.085	0.084	0.086	0.082	977 [Test]
	0.089	0.089	0.085	0.084	0.080	0.079	0.081	0.083	0.084	0.085	0.087	0.082	900 [Ref]
	0.333	0.335	-0.001	0.002	0.012	0.002	0.010	0.007	0.003	-0.003	-0.007	-0.004	Pathlength
	0.240	0.165	0.092	0.092	0.091	0.091	0.091	0.093	0.094	0.091	0.091	0.091	562
	0.722	0.492	-82.890	41.535	7.445	40.995	9.120	12.863	33.984	-32.688	-12.558	-20.430	Corrected [562]
G	0.261	0.150	0.104	0.107	0.103	0.106	0.120	0.109	0.105	0.112	0.105	0.103	977 [Test]
	0.250	0.091	0.085	0.086	0.082	0.086	0.104	0.081	0.084	0.093	0.086	0.082	900 [Ref]
	0.061	0.327	0.104	0.118	0.118	0.109	0.088	0.152	0.122	0.103	0.107	0.116	Pathlength
	0.317	0.122	1.220	1.236	1.244	1.196	1.222	1.244	1.000	1.145	0.904	0.876	562
	5.186	0.373	11.684	10.446	10.516	10.983	13.923	8.200	8.223	11.079	8.431	7.580	Corrected [562]
H	0.489	0.244	0.112	0.115	0.106	0.102	0.105	0.087	0.081	0.090	0.099	0.082	977 [Test]
	0.390	0.243	0.088	0.093	0.083	0.081	0.083	0.089	0.081	0.091	0.101	0.081	900 [Ref]
	0.547	0.005	0.129	0.122	0.124	0.116	0.119	-0.012	0.000	-0.007	-0.010	0.005	Pathlength
	0.395	0.230	1.726	1.750	1.700	1.747	1.698	0.097	0.090	0.096	0.108	0.089	562
	0.721	45.920	13.391	14.386	13.659	15.047	14.278	-8.280	?????	-14.400	-10.760	17.800	Corrected [562]

