Software Version,3.14.03,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\LABUSER\Desktop\Experiments\Kaizad P\redox_t0_2wk_sulfur_assay_compass.xpt,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,7/20/23,,,,,,,,,,,,
Time,10:50:14 AM,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,
Reader Serial Number:,1709086,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  670,,,,,,,,,,,,
,Pathlength Correction: 977 / 900,,,,,,,,,,,,
,    Absorbance at 1 cm: 0.18,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,23.9,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.238,0.218,0.165,0.16,0.169,0.167,0.166,0.171,0.167,0.169,0.17,0.166,977 [Test]
,0.201,0.198,0.09,0.092,0.093,0.091,0.091,0.089,0.087,0.088,0.093,0.086,900 [Ref]
,0.206,0.108,0.416,0.379,0.423,0.422,0.416,0.454,0.441,0.45,0.432,0.449,Pathlength
,1.763,1.882,0.143,0.143,0.147,0.143,0.139,0.138,0.138,0.141,0.141,0.132,670
,8.579,17.374,0.345,0.378,0.347,0.338,0.334,0.303,0.313,0.314,0.327,0.293,Corrected [670]
B,0.167,0.175,0.165,0.163,0.163,0.168,0.166,0.077,0.072,0.074,0.078,0.072,977 [Test]
,0.094,0.104,0.081,0.083,0.085,0.085,0.085,0.078,0.075,0.074,0.08,0.074,900 [Ref]
,0.409,0.394,0.468,0.443,0.436,0.461,0.452,-0.007,-0.013,0.003,-0.011,-0.009,Pathlength
,2.521,3.011,0.131,0.125,0.126,0.127,0.126,0.08,0.077,0.08,0.079,0.08,670
,6.165,7.634,0.28,0.282,0.29,0.276,0.28,-11.077,-6.05,23.88,-7.484,-8.439,Corrected [670]
