

Software Version	3.14.03



Experiment File Path:	C:\Users\LABUSER\Desktop\Experiments\Kaizad P\redox_t0_2wk_sulfur_assay_compass_Plate2redo.xpt
Protocol File Path:	



Plate Number	Plate 2
Date	7/20/2023
Time	12:01:51 PM
Reader Type:	Synergy H1
Reader Serial Number:	1709086
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  670
	Pathlength Correction: 977 / 900
	    Absorbance at 1 cm: 0.18
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	23.9

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.291	0.255	0.157	0.156	0.158	0.157	0.158	0.169	0.166	0.165	0.175	0.166	977 [Test]
	0.259	0.208	0.086	0.085	0.085	0.086	0.086	0.087	0.083	0.083	0.091	0.085	900 [Ref]
	0.181	0.266	0.399	0.396	0.406	0.396	0.402	0.457	0.462	0.457	0.466	0.451	Pathlength
	1.638	1.767	0.128	0.128	0.130	0.129	0.128	0.125	0.126	0.119	0.122	0.119	670
	9.071	6.655	0.322	0.324	0.319	0.325	0.319	0.273	0.274	0.260	0.262	0.263	Corrected [670]
B	0.180	0.179	0.164	0.160	0.166	0.168	0.167	0.077	0.076	0.075	0.076	0.075	977 [Test]
	0.106	0.105	0.084	0.082	0.084	0.087	0.085	0.077	0.076	0.076	0.076	0.076	900 [Ref]
	0.411	0.410	0.444	0.430	0.455	0.454	0.454	-0.004	-0.003	-0.007	-0.001	-0.006	Pathlength
	2.446	2.455	0.125	0.122	0.128	0.123	0.120	0.080	0.080	0.080	0.080	0.079	670
	5.958	5.988	0.282	0.285	0.281	0.270	0.265	-20.494	-28.692	-11.091	-71.730	-12.993	Corrected [670]
C	0.169	0.167	0.076	0.076	0.077	0.077	0.077	0.077	0.077	0.076	0.076	0.075	977 [Test]
	0.094	0.093	0.078	0.077	0.078	0.078	0.078	0.078	0.078	0.078	0.076	0.076	900 [Ref]
	0.413	0.411	-0.008	-0.007	-0.007	-0.006	-0.001	-0.005	-0.006	-0.010	-0.002	-0.006	Pathlength
	2.303	2.182	0.083	0.080	0.080	0.080	0.080	0.079	0.079	0.080	0.081	0.080	670
	5.572	5.314	-9.960	-11.022	-11.008	-14.310	-71.550	-15.820	-14.274	-8.030	-36.360	-14.382	Corrected [670]
D	0.165	0.165	0.158	0.160	0.159	0.159	0.159	0.169	0.167	0.168	0.166	0.167	977 [Test]
	0.088	0.089	0.086	0.087	0.086	0.086	0.086	0.085	0.086	0.086	0.085	0.084	900 [Ref]
	0.427	0.424	0.394	0.407	0.406	0.404	0.407	0.466	0.454	0.454	0.448	0.459	Pathlength
	1.555	1.613	0.123	0.124	0.123	0.127	0.125	0.120	0.125	0.119	0.121	0.126	670
	3.640	3.806	0.312	0.306	0.303	0.314	0.307	0.258	0.275	0.263	0.269	0.274	Corrected [670]
E	0.164	0.165	0.161	0.161	0.161	0.162	0.164	0.167	0.075	0.077	0.076	0.075	977 [Test]
	0.086	0.087	0.086	0.085	0.084	0.086	0.085	0.084	0.075	0.076	0.078	0.077	900 [Ref]
	0.434	0.431	0.421	0.426	0.429	0.422	0.441	0.463	-0.003	0.001	-0.009	-0.009	Pathlength
	1.060	1.008	0.126	0.127	0.126	0.127	0.122	0.121	0.080	0.078	0.079	0.081	670
	2.444	2.341	0.300	0.299	0.293	0.300	0.277	0.261	-23.970	140.400	-8.899	-8.598	Corrected [670]
F	0.191	0.173	0.079	0.074	0.075	0.077	0.077	0.076	0.073	0.075	0.076	0.074	977 [Test]
	0.108	0.092	0.078	0.074	0.076	0.077	0.078	0.077	0.074	0.074	0.078	0.075	900 [Ref]
	0.462	0.450	0.002	-0.004	-0.010	-0.005	-0.002	-0.009	-0.006	0.003	-0.007	-0.007	Pathlength
	0.740	0.574	0.086	0.079	0.077	0.080	0.080	0.077	0.077	0.079	0.076	0.080	670
	1.602	1.276	38.790	-17.820	-7.750	-15.900	-47.880	-8.719	-13.896	23.790	-10.592	-11.091	Corrected [670]
G	0.201	0.169	0.075	0.071	0.076	0.077	0.077	0.077	0.073	0.073	0.078	0.075	977 [Test]
	0.118	0.086	0.074	0.074	0.077	0.077	0.077	0.077	0.075	0.072	0.079	0.077	900 [Ref]
	0.463	0.462	0.008	-0.017	-0.009	-0.003	-0.001	-0.001	-0.015	0.003	-0.003	-0.009	Pathlength
	0.373	0.362	0.080	0.077	0.078	0.080	0.079	0.079	0.076	0.079	0.077	0.083	670
	0.805	0.784	9.564	-4.632	-8.280	-28.656	-71.190	-71.280	-5.080	28.512	-27.864	-8.809	Corrected [670]
H	0.166	0.170	0.076	0.072	0.077	0.077	0.076	0.077	0.073	0.075	0.078	0.074	977 [Test]
	0.081	0.085	0.076	0.075	0.077	0.076	0.076	0.076	0.076	0.074	0.078	0.076	900 [Ref]
	0.467	0.472	0.001	-0.015	-0.001	0.004	0.003	0.006	-0.016	0.002	-0.002	-0.008	Pathlength
	0.120	0.109	0.079	0.078	0.079	0.079	0.078	0.079	0.077	0.079	0.077	0.080	670
	0.257	0.231	70.830	-5.180	-142.380	20.186	28.080	14.256	-4.924	47.400	-46.320	-9.600	Corrected [670]

