Software Version,3.14.03,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\LABUSER\Desktop\Experiments\Kaizad P\2023-07-31_Sulfideassay_redox_CMPS_KFP.xpt,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,7/31/23,,,,,,,,,,,,
Time,3:14:09 PM,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,
Reader Serial Number:,1709086,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  670,,,,,,,,,,,,
,Pathlength Correction: 977 / 900,,,,,,,,,,,,
,    Absorbance at 1 cm: 0.18,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,29.6,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.351,0.458,0.172,0.176,0.176,0.175,0.197,0.243,0.281,0.24,0.267,0.211,977 [Test]
,0.375,0.506,0.118,0.12,0.12,0.119,0.141,0.181,0.23,0.179,0.217,0.146,900 [Ref]
,-0.133,-0.268,0.304,0.312,0.316,0.314,0.308,0.345,0.286,0.337,0.276,0.359,Pathlength
,1.804,2.226,0.264,0.262,0.274,0.268,0.344,0.534,0.723,0.551,0.718,0.301,670
,-13.589,-8.296,0.866,0.84,0.869,0.852,1.116,1.548,2.532,1.633,2.604,0.837,Corrected [670]
B,0.175,0.17,0.166,0.076,0.167,0.172,0.169,0.167,0.075,0.077,0.075,0.076,977 [Test]
,0.105,0.099,0.094,0.077,0.088,0.093,0.095,0.086,0.076,0.078,0.076,0.076,900 [Ref]
,0.389,0.398,0.399,-0.006,0.434,0.437,0.411,0.451,-0.007,-0.005,-0.006,-0.003,Pathlength
,2.993,2.654,0.141,0.08,0.134,0.144,0.144,0.124,0.079,0.081,0.079,0.078,670
,7.697,6.673,0.354,-14.31,0.308,0.33,0.35,0.275,-11.82,-16.14,-14.202,-23.52,Corrected [670]
