

Software Version	3.14.03



Experiment File Path:	C:\Users\LABUSER\Desktop\Experiments\Kaizad P\2023-07-18_2wk_anoxia_tray3_diluted.xpt
Protocol File Path:	



Plate Number	Plate 1
Date	7/18/2023
Time	12:13:34 PM
Reader Type:	Synergy H1
Reader Serial Number:	1709086
Reading Type	Reader

Procedure Details

Plate Type	96 WELL PLATE (Use plate lid)
Eject plate on completion	
Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  562
	Pathlength Correction: 977 / 900
	    Absorbance at 1 cm: 0.18
	Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8



Actual Temperature:	24.0

Results
	1	2	3	4	5	6	7	8	9	10	11	12
A	0.081	0.079	0.151	0.148	0.152	0.150	0.149	0.149	0.150	0.149	0.145	0.147	977 [Test]
	0.080	0.081	0.087	0.085	0.089	0.089	0.088	0.088	0.090	0.089	0.088	0.088	900 [Ref]
	0.002	-0.009	0.353	0.351	0.350	0.340	0.340	0.335	0.334	0.332	0.318	0.330	Pathlength
	0.090	0.089	1.696	1.812	1.821	1.702	1.762	1.749	1.432	1.642	1.288	1.244	562
	40.410	-10.069	4.801	5.160	5.204	5.007	5.184	5.221	4.281	4.942	4.052	3.769	Corrected [562]
B	0.082	0.080	0.150	0.150	0.149	0.147	0.149	0.083	0.083	0.082	0.083	0.083	977 [Test]
	0.083	0.083	0.090	0.089	0.090	0.088	0.088	0.081	0.082	0.083	0.083	0.083	900 [Ref]
	-0.004	-0.018	0.333	0.338	0.329	0.328	0.342	0.007	0.006	-0.006	0.004	0.001	Pathlength
	0.091	0.089	2.179	2.184	2.173	2.217	2.194	0.090	0.090	0.088	0.090	0.089	562
	-20.475	-4.860	6.537	6.455	6.597	6.752	6.423	12.503	14.793	-15.894	23.169	160.560	Corrected [562]
C	0.084	0.084	0.082	0.085	0.080	0.080	0.081	0.079	0.081	0.083	0.083	0.083	977 [Test]
	0.085	0.086	0.084	0.087	0.078	0.081	0.081	0.079	0.080	0.082	0.083	0.084	900 [Ref]
	-0.006	-0.009	-0.006	-0.012	0.013	-0.004	-0.002	0.001	0.009	0.006	0.000	-0.003	Pathlength
	0.091	0.091	0.089	0.092	0.089	0.090	0.089	0.089	0.090	0.093	0.090	0.089	562
	-14.842	-10.294	-14.613	-7.519	6.675	-20.205	-40.005	80.190	9.519	15.169	?????	-32.040	Corrected [562]
D	0.086	0.083	0.083	0.083	0.083	0.080	0.079	0.082	0.083	0.083	0.086	0.083	977 [Test]
	0.087	0.084	0.084	0.084	0.083	0.083	0.081	0.083	0.083	0.084	0.087	0.084	900 [Ref]
	-0.005	-0.004	-0.005	-0.003	0.001	-0.016	-0.012	-0.004	0.000	-0.004	-0.007	-0.006	Pathlength
	0.093	0.090	0.091	0.090	0.089	0.089	0.090	0.090	0.091	0.090	0.093	0.090	562
	-18.540	-23.066	-18.120	-27.000	160.560	-5.696	-7.706	-20.182	?????	-23.091	-13.890	-16.128	Corrected [562]
E	0.085	0.086	0.083	0.083	0.081	0.081	0.078	0.083	0.083	0.084	0.086	0.090	977 [Test]
	0.086	0.086	0.084	0.084	0.082	0.083	0.079	0.083	0.084	0.085	0.087	0.092	900 [Ref]
	-0.006	-0.002	-0.002	-0.004	-0.008	-0.008	-0.006	-0.003	-0.004	-0.004	-0.006	-0.008	Pathlength
	0.092	0.093	0.090	0.090	0.090	0.091	0.088	0.089	0.090	0.092	0.094	0.099	562
	-16.560	-41.850	-40.320	-20.205	-11.533	-10.956	-15.840	-26.700	-23.091	-20.633	-16.956	-11.856	Corrected [562]
F	0.088	0.084	0.084	0.082	0.080	0.081	0.084	0.094	0.083	0.084	0.085	0.084	977 [Test]
	0.089	0.086	0.084	0.082	0.079	0.081	0.084	0.093	0.083	0.084	0.085	0.085	900 [Ref]
	-0.003	-0.011	-0.005	-0.002	0.008	-0.002	-0.002	0.005	0.003	0.001	-0.002	-0.009	Pathlength
	0.096	0.094	0.090	0.091	0.089	0.090	0.091	0.105	0.091	0.091	0.093	0.092	562
	-28.830	-8.424	-18.040	-54.600	11.507	-54.240	-54.780	20.960	32.796	82.260	-55.560	-10.327	Corrected [562]
G	0.081	0.083	0.084	0.084	0.077	0.082	0.082	0.082	0.087	0.084	0.090	0.081	977 [Test]
	0.082	0.086	0.085	0.082	0.079	0.081	0.083	0.081	0.086	0.083	0.090	0.082	900 [Ref]
	-0.008	-0.013	-0.007	0.009	-0.009	0.001	-0.003	0.004	0.002	0.001	0.002	-0.005	Pathlength
	0.091	0.093	0.091	0.092	0.090	0.089	0.090	0.091	0.096	0.091	0.096	0.093	562
	-10.956	-7.302	-12.558	9.709	-9.572	161.100	-32.292	20.565	43.200	81.720	57.420	-18.620	Corrected [562]
H	0.086	0.078	0.084	0.081	0.079	0.081	0.080	0.082	0.080	0.083	0.084	0.079	977 [Test]
	0.085	0.081	0.087	0.081	0.081	0.083	0.082	0.083	0.081	0.085	0.085	0.081	900 [Ref]
	0.004	-0.015	-0.018	-0.002	-0.011	-0.009	-0.009	-0.008	-0.008	-0.014	-0.006	-0.013	Pathlength
	0.093	0.089	0.094	0.089	0.089	0.089	0.091	0.091	0.091	0.092	0.089	0.091	562
	20.903	-5.947	-5.310	-40.185	-8.394	-10.057	-10.249	-11.661	-11.661	-6.624	-14.564	-6.803	Corrected [562]

