Software Version,3.14.03,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\LABUSER\Desktop\Experiments\Kaizad P\2023-08-02_Fe_assay_anoxia_time0water__CMPS_KFP_tray1.xpt,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,8/2/23,,,,,,,,,,,,
Time,3:14:19 PM,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,
Reader Serial Number:,1709086,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,Pathlength Correction: 977 / 900,,,,,,,,,,,,
,    Absorbance at 1 cm: 0.18,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,23.3,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.151,0.175,0.152,0.147,0.283,0.202,0.413,0.511,0.371,0.145,0.144,0.155,977 [Test]
,0.088,0.115,0.091,0.085,0.223,0.116,0.293,0.386,0.271,0.089,0.087,0.094,900 [Ref]
,0.347,0.334,0.339,0.348,0.336,0.477,0.665,0.694,0.558,0.309,0.317,0.337,Pathlength
,2.513,2.524,0.093,0.097,0.208,0.118,0.303,0.398,0.274,0.091,0.089,0.097,562
,7.236,7.56,0.275,0.278,0.62,0.248,0.455,0.573,0.491,0.294,0.283,0.286,Corrected [562]
B,0.151,0.15,0.149,0.15,0.149,0.149,0.43,0.327,0.082,0.085,0.083,0.08,977 [Test]
,0.09,0.09,0.09,0.089,0.089,0.088,0.371,0.222,0.08,0.085,0.084,0.082,900 [Ref]
,0.339,0.331,0.328,0.34,0.331,0.336,0.328,0.584,0.012,0.001,-0.003,-0.011,Pathlength
,1.433,1.361,0.098,0.097,0.095,0.094,0.368,0.234,0.09,0.092,0.09,0.09,562
,4.229,4.118,0.299,0.284,0.286,0.28,1.122,0.4,7.396,82.62,-32.328,-8.498,Corrected [562]
