Software Version,3.14.03,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Experiment File Path:,C:\Users\LABUSER\Desktop\Experiments\Kaizad P\2023-08-01_Fe_assay_anoxia_2wkcarbon_CMPS_KFP_tray2.xpt,,,,,,,,,,,,
Protocol File Path:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Number,Plate 1,,,,,,,,,,,,
Date,8/1/23,,,,,,,,,,,,
Time,3:58:53 PM,,,,,,,,,,,,
Reader Type:,Synergy H1,,,,,,,,,,,,
Reader Serial Number:,1709086,,,,,,,,,,,,
Reading Type,Reader,,,,,,,,,,,,
,,,,,,,,,,,,,
Procedure Details,,,,,,,,,,,,,
,,,,,,,,,,,,,
Plate Type,96 WELL PLATE (Use plate lid),,,,,,,,,,,,
Eject plate on completion,,,,,,,,,,,,,
Read,Absorbance Endpoint,,,,,,,,,,,,
,Full Plate,,,,,,,,,,,,
,Wavelengths:  562,,,,,,,,,,,,
,Pathlength Correction: 977 / 900,,,,,,,,,,,,
,    Absorbance at 1 cm: 0.18,,,,,,,,,,,,
,"Read Speed: Normal,  Delay: 100 msec,  Measurements/Data Point: 8",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Actual Temperature:,23.6,,,,,,,,,,,,
,,,,,,,,,,,,,
Results,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,0.144,0.15,0.148,0.147,0.148,0.148,0.149,0.154,0.159,0.154,0.154,0.155,977 [Test]
,0.085,0.089,0.086,0.087,0.088,0.087,0.091,0.095,0.1,0.094,0.096,0.095,900 [Ref]
,0.324,0.339,0.347,0.336,0.332,0.339,0.323,0.326,0.324,0.335,0.318,0.333,Pathlength
,2.324,2.316,0.209,0.251,0.226,0.224,0.254,0.377,0.436,0.348,0.344,0.395,562
,7.164,6.823,0.602,0.747,0.68,0.662,0.786,1.159,1.343,1.039,1.079,1.186,Corrected [562]
B,0.14,0.15,0.149,0.078,0.146,0.149,0.149,0.149,0.082,0.083,0.083,0.079,977 [Test]
,0.086,0.089,0.085,0.081,0.088,0.089,0.087,0.085,0.081,0.083,0.084,0.082,900 [Ref]
,0.3,0.339,0.352,-0.012,0.321,0.336,0.343,0.356,0.009,0.003,-0.007,-0.016,Pathlength
,0.931,1.306,0.1,0.09,0.117,0.109,0.24,0.087,0.09,0.09,0.089,0.09,562
,3.102,3.847,0.283,-7.355,0.364,0.324,0.7,0.244,10.125,26.88,-13.38,-5.592,Corrected [562]
